edition,country_noc,gold,silver,bronze,total
1996 Summer Olympics,CAF,0,0,0,0
2000 Summer Olympics,CAF,0,0,0,0
2004 Summer Olympics,CAF,0,0,0,0
2008 Summer Olympics,CAF,0,0,0,0
2012 Summer Olympics,CAF,0,0,0,0
2016 Summer Olympics,CAF,0,0,0,0
2020 Summer Olympics,CAF,0,0,0,0
1964 Summer Olympics,CHA,0,0,0,0
1968 Summer Olympics,CHA,0,0,0,0
1972 Summer Olympics,CHA,0,0,0,0
1984 Summer Olympics,CHA,0,0,0,0
1988 Summer Olympics,CHA,0,0,0,0
1992 Summer Olympics,CHA,0,0,0,0
1996 Summer Olympics,CHA,0,0,0,0
2000 Summer Olympics,CHA,0,0,0,0
2004 Summer Olympics,CHA,0,0,0,0
2008 Summer Olympics,CHA,0,0,0,0
2012 Summer Olympics,CHA,0,0,0,0
2016 Summer Olympics,CHA,0,0,0,0
2020 Summer Olympics,CHA,0,0,0,0
1988 Summer Olympics,COK,0,0,0,0
1992 Summer Olympics,COK,0,0,0,0
1996 Summer Olympics,COK,0,0,0,0
2000 Summer Olympics,COK,0,0,0,0
2004 Summer Olympics,COK,0,0,0,0
2008 Summer Olympics,COK,0,0,0,0
2012 Summer Olympics,COK,0,0,0,0
2016 Summer Olympics,COK,0,0,0,0
2020 Summer Olympics,COK,0,0,0,0
1964 Summer Olympics,CMR,0,0,0,0
1968 Summer Olympics,CMR,0,1,0,1
1972 Summer Olympics,CMR,0,0,0,0
1976 Summer Olympics,CMR,0,0,0,0
1980 Summer Olympics,CMR,0,0,0,0
1984 Summer Olympics,CMR,0,0,1,1
1988 Summer Olympics,CMR,0,0,0,0
1992 Summer Olympics,CMR,0,0,0,0
1996 Summer Olympics,CMR,0,0,0,0
2000 Summer Olympics,CMR,1,0,0,1
2002 Winter Olympics,CMR,0,0,0,0
2004 Summer Olympics,CMR,1,0,0,1
2008 Summer Olympics,CMR,1,0,0,1
2012 Summer Olympics,CMR,0,0,1,1
2016 Summer Olympics,CMR,0,0,0,0
2020 Summer Olympics,CMR,0,0,0,0
1964 Summer Olympics,CGO,0,0,0,0
1972 Summer Olympics,CGO,0,0,0,0
1980 Summer Olympics,CGO,0,0,0,0
1984 Summer Olympics,CGO,0,0,0,0
1988 Summer Olympics,CGO,0,0,0,0
1992 Summer Olympics,CGO,0,0,0,0
1996 Summer Olympics,CGO,0,0,0,0
2000 Summer Olympics,CGO,0,0,0,0
2004 Summer Olympics,CGO,0,0,0,0
2008 Summer Olympics,CGO,0,0,0,0
2012 Summer Olympics,CGO,0,0,0,0
2016 Summer Olympics,CGO,0,0,0,0
2020 Summer Olympics,CGO,0,0,0,0
1994 Winter Olympics,BLR,0,2,0,2
1996 Summer Olympics,BLR,1,6,8,15
1998 Winter Olympics,BLR,0,0,2,2
2000 Summer Olympics,BLR,3,3,11,17
2002 Winter Olympics,BLR,0,0,1,1
2004 Summer Olympics,BLR,2,5,6,13
2006 Winter Olympics,BLR,0,1,0,1
2008 Summer Olympics,BLR,3,4,7,14
2010 Winter Olympics,BLR,1,1,1,3
2012 Summer Olympics,BLR,2,5,3,10
2014 Winter Olympics,BLR,5,0,1,6
2016 Summer Olympics,BLR,1,4,4,9
2018 Winter Olympics,BLR,2,1,0,3
2020 Summer Olympics,BLR,1,3,3,7
2022 Winter Olympics,BLR,0,2,0,2
1964 Summer Olympics,CIV,0,0,0,0
1968 Summer Olympics,CIV,0,0,0,0
1972 Summer Olympics,CIV,0,0,0,0
1976 Summer Olympics,CIV,0,0,0,0
1984 Summer Olympics,CIV,0,1,0,1
1988 Summer Olympics,CIV,0,0,0,0
1992 Summer Olympics,CIV,0,0,0,0
1996 Summer Olympics,CIV,0,0,0,0
2000 Summer Olympics,CIV,0,0,0,0
2004 Summer Olympics,CIV,0,0,0,0
2008 Summer Olympics,CIV,0,0,0,0
2012 Summer Olympics,CIV,0,0,0,0
2016 Summer Olympics,CIV,1,0,1,2
2020 Summer Olympics,CIV,0,0,1,1
1968 Summer Olympics,COD,0,0,0,0
1984 Summer Olympics,COD,0,0,0,0
1988 Summer Olympics,COD,0,0,0,0
1992 Summer Olympics,COD,0,0,0,0
1996 Summer Olympics,COD,0,0,0,0
2000 Summer Olympics,COD,0,0,0,0
2004 Summer Olympics,COD,0,0,0,0
2008 Summer Olympics,COD,0,0,0,0
2012 Summer Olympics,COD,0,0,0,0
2016 Summer Olympics,COD,0,0,0,0
2020 Summer Olympics,COD,0,0,0,0
1984 Summer Olympics,DJI,0,0,0,0
1988 Summer Olympics,DJI,0,0,1,1
1992 Summer Olympics,DJI,0,0,0,0
1996 Summer Olympics,DJI,0,0,0,0
2000 Summer Olympics,DJI,0,0,0,0
2008 Summer Olympics,DJI,0,0,0,0
2012 Summer Olympics,DJI,0,0,0,0
2016 Summer Olympics,DJI,0,0,0,0
2020 Summer Olympics,DJI,0,0,0,0
1996 Summer Olympics,DMA,0,0,0,0
2000 Summer Olympics,DMA,0,0,0,0
2004 Summer Olympics,DMA,0,0,0,0
2008 Summer Olympics,DMA,0,0,0,0
2012 Summer Olympics,DMA,0,0,0,0
2014 Winter Olympics,DMA,0,0,0,0
2016 Summer Olympics,DMA,0,0,0,0
2020 Summer Olympics,DMA,0,0,0,0
1936 Summer Olympics,CRC,0,0,0,0
1964 Summer Olympics,CRC,0,0,0,0
1968 Summer Olympics,CRC,0,0,0,0
1972 Summer Olympics,CRC,0,0,0,0
1976 Summer Olympics,CRC,0,0,0,0
1980 Summer Olympics,CRC,0,0,0,0
1980 Winter Olympics,CRC,0,0,0,0
1984 Summer Olympics,CRC,0,0,0,0
1984 Winter Olympics,CRC,0,0,0,0
1988 Summer Olympics,CRC,0,1,0,1
1988 Winter Olympics,CRC,0,0,0,0
